architecture,network_size,training_timesteps,seed,condition,n_eval_episodes,success_rate,crash_rate,avg_battery_level,avg_episode_length
B,[256],200000,0,override_w8,200,0.145,0.495,44.8,49.865
C,[256],200000,0,override_w8,200,0.03,0.97,2.72,24.32
C,[256],200000,0,goal_nulling,200,0.265,0.08,71.54,70.695
C,[256],200000,0,indifference,200,0.995,0.005,83.98,4.005
A,[256],500000,0,standard,200,1.0,0.0,84.48,3.88
B,[256],500000,0,standard,200,0.64,0.06,53.4,44.44
C,[256],500000,0,standard,200,1.0,0.0,84.48,3.88
A,[256],500000,0,goal_nulling,200,0.06,0.94,5.42,23.645
A,[256],500000,0,indifference,200,1.0,0.0,84.48,3.88
A,[256],500000,0,override_w0,200,1.0,0.0,84.48,3.88
A,[256],500000,0,override_w1,200,0.28,0.08,58.18,68.685
A,[256],500000,0,override_w1.5,200,0.06,0.94,5.38,23.655
A,[256],500000,0,override_w2,200,0.035,0.965,3.08,24.23
A,[256],500000,0,override_w4,200,0.03,0.97,2.72,24.32
A,[256],500000,0,override_w8,200,0.035,0.965,3.12,24.22
B,[256],500000,0,goal_nulling,200,0.15,0.51,43.0,48.245
B,[256],500000,0,indifference,200,0.62,0.025,58.42,47.34
B,[256],500000,0,override_w0,200,0.64,0.06,53.4,44.44
C,[256],500000,0,override_w0,200,1.0,0.0,84.48,3.88
B,[256],500000,0,override_w1,200,0.135,0.495,45.3,50.66
C,[256],500000,0,override_w1,200,0.175,0.12,59.38,76.025
B,[256],500000,0,override_w1.5,200,0.145,0.485,46.16,50.44
C,[256],500000,0,override_w1.5,200,0.015,0.985,1.42,24.645
B,[256],500000,0,override_w2,200,0.15,0.455,48.86,52.28
C,[256],500000,0,override_w2,200,0.02,0.98,1.86,24.535
B,[256],500000,0,override_w4,200,0.155,0.495,44.2,48.915
C,[256],500000,0,override_w4,200,0.025,0.975,2.28,24.43
B,[256],500000,0,override_w8,200,0.14,0.51,43.44,49.05
C,[256],500000,0,override_w8,200,0.04,0.96,3.66,24.085
C,[256],500000,0,goal_nulling,200,0.25,0.085,80.26,71.995
C,[256],500000,0,indifference,200,1.0,0.0,84.48,3.88
A,[512],10000,0,standard,200,0.345,0.725,16.0,21.0
B,[512],10000,0,standard,200,0.27,0.335,52.98,51.315
C,[512],10000,0,standard,200,0.6,0.35,43.62,19.215
A,[512],10000,0,goal_nulling,200,0.095,0.905,5.52,23.62
A,[512],10000,0,indifference,200,0.46,0.525,35.94,17.425
A,[512],10000,0,override_w0,200,0.345,0.725,16.0,21.0
A,[512],10000,0,override_w1,200,0.11,0.89,9.78,22.555
A,[512],10000,0,override_w1.5,200,0.055,0.935,4.78,24.8
A,[512],10000,0,override_w2,200,0.05,0.91,7.66,26.885
A,[512],10000,0,override_w4,200,0.045,0.935,5.18,25.525
A,[512],10000,0,override_w8,200,0.04,0.95,4.1,24.845
B,[512],10000,0,goal_nulling,200,0.185,0.355,56.22,57.445
B,[512],10000,0,indifference,200,0.28,0.34,51.24,50.19
B,[512],10000,0,override_w0,200,0.27,0.335,52.98,51.315
C,[512],10000,0,override_w0,200,0.6,0.35,43.62,19.215
B,[512],10000,0,override_w1,200,0.185,0.485,43.62,47.095
C,[512],10000,0,override_w1,200,0.12,0.8,16.5,28.34
B,[512],10000,0,override_w1.5,200,0.185,0.395,52.32,53.98
C,[512],10000,0,override_w1.5,200,0.05,0.79,14.5,36.12
B,[512],10000,0,override_w2,200,0.17,0.47,45.78,49.52
C,[512],10000,0,override_w2,200,0.065,0.88,8.98,27.975
B,[512],10000,0,override_w4,200,0.165,0.44,49.42,52.175
C,[512],10000,0,override_w4,200,0.045,0.87,11.44,30.46
B,[512],10000,0,override_w8,200,0.135,0.47,48.44,52.62
C,[512],10000,0,override_w8,200,0.05,0.875,11.64,29.53
C,[512],10000,0,goal_nulling,200,0.175,0.5,43.12,46.72
C,[512],10000,0,indifference,200,0.51,0.46,38.98,18.155
A,[512],50000,0,standard,200,0.93,0.04,79.52,8.65
B,[512],50000,0,standard,200,0.59,0.075,55.64,45.47
